Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1,1,NWINFMUT,3,F,A3,New information available concerning genetic mutations?,Num,1,45,45,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,"If Question 1 NWINFMUT = 0 (No), then skip to Question 5","If Question 1 NWINFMUT = 9 (Unknown), then skip to Question 5"
2a,2,FADMUT,3,F,A3,"In this family, is there evidence for an AD mutation? If Yes, select predominant mutation",Num,1,47,47,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,No,"Yes, APP","Yes, PS-1 (PSEN-1)","Yes, PS-2 (PSEN-2)","Yes, Other (specify)",Unknown whether mutation exists,,,,,,,Blank if Question 1 NWINFMUT ne 1 (Yes),,,,,"If Question 2a FADMUT = 0 (No), then skip to Question 3a","If Question 2a FADMUT = 9 (Unknown), then skip to Question 3a"
2a1,3,FADMUTX,3,F,A3,"If Yes, other (specify):",Char,60,49,108,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 2a FADMUT ne 8 (Other),Blank if Question 1 NWINFMUT ne 1 (Yes),,,,,
2b,4,FADMUSO,3,F,A3,Source of evidence for AD mutation:,Num,1,110,110,1,3,8,9,.,.,.,.,1,2,3,8,9,.,.,.,.,.,.,.,Family report (no test documentation available),Commercial test documentation,Research lab test documentation,Other (specify),Unknown,,,,,,,,Blank if Question 2a FADMUT = 0 (No),Blank if Question 2a FADMUT = 9 (Unknown),Blank if Question 1 NWINFMUT ne 1 (Yes),,,,
2b1,5,FADMUSOX,3,F,A3,"If other, specify:",Char,60,112,171,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 2a FADMUT = 0 (No),Blank if Question 2a FADMUT = 9 (Unknown),Blank if Question 2b FADMUSO ne 8 (Other),Blank if Question 1 NWINFMUT ne 1 (Yes),,,
3a,6,FFTDMUT,3,F,A3,"In this family, is there evidence for an FTLD mutation? If Yes, select predominant mutation",Num,1,173,173,0,4,8,9,.,.,.,.,0,1,2,3,4,8,9,.,.,.,.,.,No,"Yes, MAPT","Yes, PGRN","Yes, C9orf72","Yes, FUS","Yes, Other (specify)",Unknown whether mutation exists,,,,,,Blank if Question 1 NWINFMUT ne 1 (Yes),,,,,"If Question 3a FFTDMUT = 0 (No), then skip to Question 4a","If Question 3a FFTDMUT = 9 (Unknown), then skip to Question 4a"
3a1,7,FFTDMUTX,3,F,A3,"If Yes, other (specify):",Char,60,175,234,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 3a FFTDMUT ne 8 (Other),Blank if Question 1 NWINFMUT ne 1 (Yes),,,,,
3b,8,FFTDMUSO,3,F,A3,Source of evidence for FTLD mutation,Num,1,236,236,1,3,8,9,.,.,.,.,1,2,3,8,9,.,.,.,.,.,.,.,Family report (no test documentation available),Commercial test documentation,Research lab test documentation,Other (specify),Unknown,,,,,,,,Blank if Question 3a FFTDMUT = 0 (No),Blank if Question 3a FFTDMUT = 9 (Unknown),Blank if Question 1 NWINFMUT ne 1 (Yes),,,,
3b1,9,FFTDMUSX,3,F,A3,"If other, specify:",Char,60,238,297,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 3a FFTDMUT = 0 (No),Blank if Question 3a FFTDMUT = 9 (Unknown),Blank if Question 3b FFTDMUSO ne 8 (Other),Blank if Question 1 NWINFMUT ne 1 (Yes),,,
4a,10,FOTHMUT,3,F,A3,"In this family, is there evidence for a mutation other than an AD or FTLD mutation?",Num,1,299,299,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes (specify),Unknown,,,,,,,,,,Blank if Question 1 NWINFMUT ne 1 (Yes),,,,,"If Question 4a FOTHMUT = 0 (No), then skip to Question 5","If Question 4a FOTHMUT = 9 (Unknown), then skip to Question 5"
