Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1,1,BILLS,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Writing checks, paying bills, or balancing a checkbook",Num,1,45,45,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
2,2,TAXES,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Assembling tax records, business affairs, or other papers",Num,1,47,47,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
3,3,SHOPPING,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Shopping alone for clothes, household necessities, or groceries",Num,1,49,49,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
4,4,GAMES,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Playing a game of skill such as bridge or chess, working on a hobby",Num,1,51,51,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
5,5,STOVE,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Heating water, making a cup of coffee, turning off the stove",Num,1,53,53,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
6,6,MEALPREP,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Preparing a balanced meal",Num,1,55,55,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
7,7,EVENTS,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Keeping track of current events",Num,1,57,57,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
8,8,PAYATTN,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Paying attention to and understanding a TV program, book, or magazine",Num,1,59,59,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
9,9,REMDATES,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Remembering appointments, family occasions, holidays, medications",Num,1,61,61,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
10,10,TRAVEL,3,F,B7,"In the past four weeks, did the subject have any difficulty or need help with: Traveling out of the neighborhood, driving, or arranging to take public transportation",Num,1,63,63,0,3,8,9,.,.,.,.,0,1,2,3,8,9,.,.,.,.,.,.,Normal,"Has difficulty, but does by self",Requires assistance,Dependent,"Not applicable (e.g., never did)",Unknown,,,,,,,,,,,,,
