Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1a,1,TOBAC30,3,I,A5,Has subject smoked within the last 30 days?,Num,1,45,45,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
1b,2,TOBAC100,3,I,A5,Has subject smoked more than 100 cigarettes in his/her life?,Num,1,47,47,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,"If Question 1b TOBAC100 = 0 (No), then skip to question 1f","If Question 1b TOBAC100 = 9 (Unknown), then skip to question 1f"
1c,3,SMOKYRS,3,I,A5,Total years smoked,Num,2,49,50,0,87,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 1b TOBAC100 ne 1 (Yes),,,,,,
1d,4,PACKSPER,3,I,A5,Average number of packs smoked per day,Num,1,52,52,1,5,9,.,.,.,.,.,1,2,3,4,5,9,.,.,.,.,.,.,1 cigarette - < 1/2 Pack,1/2 -< 1 Pack,1 - < 1 1/2 Packs,1 1/2 - < 2 packs,>= 2 Packs,Unknown,,,,,,,Blank if Question 1b TOBAC100 ne 1 (Yes),,,,,,
1e,5,QUITSMOK,3,I,A5,"If the subject quit smoking, specify age at which he/she last smoked (i.e., quit)",Num,3,54,56,8,110,888,999,.,.,.,.,.,888,999,.,.,.,.,.,.,.,.,.,,N/A,Unknown,,,,,,,,,,Blank if Question 1b TOBAC100 ne 1 (Yes),,,,,,
1f,6,ALCOCCAS,3,I,A5,"In the past three months, has the subject consumed any alcohol?",Num,1,58,58,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,"If Question 1f ALCOCCAS = 0 (No), then skip to Question 2a","If Question 1f ALCOCCAS = 9 (Unknown), then skip to Question 2a"
1g,7,ALCFREQ,3,I,A5,"During the past three months, how often did the subject have at least one drink of any alcoholic beverage such as wine, beer, malt liquor, or spirits?",Num,1,60,60,0,4,9,.,.,.,.,.,0,1,2,3,4,9,.,.,.,.,.,.,Less than once a month,About once a month,About once a week,A few times a week,Daily or almost daily,Unknown,,,,,,,Blank if Question 1f ALCOCCAS ne 1 (Yes),,,,,,
2a,8,CVHATT,3,I,A5,Heart attack/cardiac arrest,Num,1,62,62,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,"If Question 2a CVGATT = 0 (Absent), then skip to Question 2b","If Question 2a CVGATT = 9 (Unknown), then skip to Question 2b"
2a1,9,HATTMULT,3,I,A5,More than one heart attack?,Num,1,64,64,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 2a CVHATT = 0 (Absent),Blank if Question 2a CVHATT = 9 (Unknown),,,,,
2a2,10,HATTYEAR,3,I,A5,Year of most recent heart attack,Num,4,66,69,1900,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Uknown,,,,,,,,,,,Blank if Question 2a CVHATT = 0 (Absent),Blank if Question 2a CVHATT = 9 (Unknown),,,,,
2b,11,CVAFIB,3,I,A5,Atrial fibrillation,Num,1,71,71,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,,
2c,12,CVANGIO,3,I,A5,Angioplasty/endarterectomy/stent,Num,1,73,73,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,,
2d,13,CVBYPASS,3,I,A5,Cardiac bypass procedure,Num,1,75,75,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,,
2e,14,CVPACDEF,3,I,A5,Pacemaker and/or defibrillator,Num,1,77,77,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,,
2f,15,CVCHF,3,I,A5,Congestive heart failure,Num,1,79,79,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,,
2g,16,CVANGINA,3,I,A5,Angina,Num,1,81,81,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,,
2h,17,CVHVALVE,3,I,A5,Heart valve replacement or repair,Num,1,83,83,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,,
2i,18,CVOTHR,3,I,A5,Other cardiovascular disease,Num,1,85,85,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,,
2i1,19,CVOTHRX,3,I,A5,Other cardiovascular disease (specify):,Char,60,87,146,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 2i CVOTHR = 0 (Absent),Blank if Question 2i CVOTHR = 9 (Unknown),,,,,
3a,20,CBSTROKE,3,I,A5,"Stroke - by history, not exam (imaging is not required)",Num,1,148,148,0,2,9,.,.,.,.,.,0,1,2,9,.,.,.,.,.,.,.,.,Absent,Recent/Active,Remote/Inactive,Unknown,,,,,,,,,,,,,,"If Question 3a CBSTROKE = 0 (Absent), then skip to Question 3b","If Question 3a CBSTROKE = 9 (Unknown), then skip to Question 3b"
3a1,21,STROKMUL,3,I,A5,More than one stroke?,Num,1,150,150,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 3a CBSTROKE = 0 (Absent),Blank if Question 3a CBSTROKE = 9 (Unknown),,,,,
3a2,22,STROKYR,3,I,A5,Year of most recent stroke,Num,4,152,155,1900,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 3a CBSTROKE = 0 (Absent),Blank if Question 3a CBSTROKE = 9 (Unknown),,,,,
