Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1,1,NPIQINF,3,I,B5,NPI CO-PARTICIPANT,Num,1,45,45,1,3,.,.,.,.,.,.,1,2,3,.,.,.,.,.,.,.,.,.,Spouse,Child,Other,,,,,,,,,,,,,,,,
1a,2,NPIQINFX,3,I,B5,If NPI informant other - specify,Char,60,47,106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 1 NPIQINF ne 3 (Other),,,,,,
2a,3,DEL,3,I,B5,"DELUSIONS: Does the patient believe that others are stealing from him or her, or planning to harm him or her in some way?",Num,1,108,108,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
2b,4,DELSEV,3,I,B5,"If DELUSIONS, rate severity",Num,1,110,110,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 2a DEL ne 1 (Yes),,,,,,
3a,5,HALL,3,I,B5,HALLUCINATIONS: Does the patient act as if he or she hears voices? Does he or she talk to people who are not there?,Num,1,112,112,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
3b,6,HALLSEV,3,I,B5,"If HALLUCINATIONS, rate severity",Num,1,114,114,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 3a HALL ne 1 (Yes),,,,,,
4a,7,AGIT,3,I,B5,AGITATION OR AGGRESSION: Is the patient stubborn and resistive to help from others?,Num,1,116,116,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
4b,8,AGITSEV,3,I,B5,"If AGITATION OR AGGRESSION, rate severity",Num,1,118,118,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 4a AGIT ne 1 (Yes),,,,,,
5a,9,DEPD,3,I,B5,DEPRESSION OR DYSPHORIA: Does the patient act as if he or she is sad or in low spirits? Does he or she cry?,Num,1,120,120,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
5b,10,DEPDSEV,3,I,B5,"If DEPRESSION OR DYSPHORIA, rate severity",Num,1,122,122,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 5a DEPD ne 1 (Yes),,,,,,
