Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1a,1,MOCACOMP,3,I,C2,Was any part of MoCA administered?,Num,1,45,45,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,"If Question 1a MOCACOMP = 0 (No), then enter reason code, 95–-98, and skip to Question 2a",
1a1,2,MOCAREAS,3,I,C2,"Was any part of MoCA administered? If No, enter reason code, 95-98",Num,2,47,48,95,98,.,.,.,.,.,.,95,96,97,98,.,.,.,.,.,.,.,.,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,,Blank if Question 1a MOCACOMP = 1 (Yes),,,,,"If Question 1a1 MOCAREAS = 95-98, then skip to Question 2a",
1b,3,MOCALOC,3,I,C2,MoCA was administered?,Num,1,50,50,1,3,.,.,.,.,.,.,1,2,3,.,.,.,.,.,.,.,.,.,In ADC or Clinic,In Home,In-person - other,,,,,,,,,,Blank if Question 1a MOCACOMP = 0 (No),,,,,,
1c,4,MOCALAN,3,I,C2,Language of MoCA administration,Num,1,52,52,1,3,.,.,.,.,.,.,1,2,3,.,.,.,.,.,.,.,.,.,English,Spanish,Other,,,,,,,,,,Blank if Question 1a MOCACOMP = 0 (No),,,,,,
1c1,5,MOCALANX,3,I,C2,Language of MoCA administration - Other specify,Char,60,54,113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 1a MOCACOMP = 0 (No),Blank if Question 1c MOCALAN = 1,Blank if Question 1c MOCALAN = 2,,,,
1d,6,MOCAVIS,3,I,C2,Subject was unable to complete one or more sections due to visual impairment,Num,1,115,115,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,Blank if Question 1a MOCACOMP = 0 (No),,,,,,
1e,7,MOCAHEAR,3,I,C2,Subject was unable to complete one or more sections due to hearing impairment,Num,1,117,117,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,Blank if Question 1a MOCACOMP = 0 (No),,,,,,
1f,8,MOCATOTS,3,I,C2,MoCA Total Raw Score - uncorrected,Num,2,119,120,0,30,88,.,.,.,.,.,.,88,.,.,.,.,.,.,.,.,.,.,,Item not administered,,,,,,,,,,,Blank if Question 1a MOCACOMP = 0 (No),,,,,,
1g,9,MOCATRAI,3,I,C2,MoCA: Visuospatial/executive - Trails,Num,2,122,123,0,1,95,96,97,98,.,.,0,1,95,96,97,98,.,.,.,.,.,.,.,,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,Blank if Question 1a MOCACOMP = 0 (No),,,,,,
1h,10,MOCACUBE,3,I,C2,MoCA: Visuospatial/executive - Cube,Num,2,125,126,0,1,95,96,97,98,.,.,.,95,96,97,98,.,.,.,.,.,.,.,,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,Blank if Question 1a MOCACOMP = 0 (No),,,,,,
