Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1,1,CANCER,3,I,D2,"History of cancer (excluding non-melanoma skin cancer), primary or metastatic",Num,1,45,45,0,2,8,.,.,.,.,.,0,1,2,8,.,.,.,.,.,.,.,.,No,"Yes, primary/non-metastatic","Yes, metastatic",Not assessed,,,,,,,,,,,,,,"If Question 1 CANCER = 0 (No), then skip to Question 2","If Question 1 CANCER = 8 (Not assessed), then skip to Question 2"
1a,2,CANCSITE,3,I,D2,Cancer primary site specification,Char,60,47,106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 1 CANCER = 0 (No),Blank if Question 1 CANCER = 8 (Not assessed),,,,,
1b,3,CANCACT,3,I,D2,Cancer status,Num,1,108,108,1,2,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,Recent/active,Remote/inactive,,,,,,,,,,,Blank if Question 1 CANCER = 0 (No),Blank if Question 1 CANCER = 8 (Not assessed),,,,,
2,4,DIABET,3,I,D2,Diabetes,Num,1,110,110,0,3,9,.,.,.,.,.,0,1,2,3,9,.,.,.,.,.,.,.,No,"Yes, Type I","Yes, Type II","Yes, other type",Not assessed or unknown,,,,,,,,,,,,,,
3,5,MYOINF,3,I,D2,Myocardial infarct,Num,1,112,112,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
4,6,CONGHRT,3,I,D2,Congestive heart failure,Num,1,114,114,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
5,7,AFIBRILL,3,I,D2,Atrial fibrillation,Num,1,116,116,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
6,8,HYPERT,3,I,D2,Hypertension,Num,1,118,118,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
7,9,ANGINA,3,I,D2,Angina,Num,1,120,120,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
8,10,HYPCHOL,3,I,D2,Hypercholesterolemia,Num,1,122,122,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
9,11,VB12DEF,3,I,D2,B12 deficiency,Num,1,124,124,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
10,12,THYDIS,3,I,D2,Thyroid disease,Num,1,126,126,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
11,13,ARTH,3,I,D2,Arthritis,Num,1,128,128,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,"If Question 11 ARTH = 1 (No), then skip to Question 12","If Question 11 ARTH = 8 (Not assessed), then skip to Question 12"
11a,14,ARTYPE,3,I,D2,Arthritis type,Num,1,130,130,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,Rheumatoid,Osteoarthritis,Other (specify),Unknown,,,,,,,,,Blank if Question 11 ARTH = 0 (No),Blank if Question 11 ARTH = 8 (Not assessed),,,,,
11a1,15,ARTYPEX,3,I,D2,Other arthritis type specification,Char,60,132,191,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 11a ARTYPE ne 3 (Other),,,,,,
11b1,16,ARTUPEX,3,I,D2,Arthritis region affected - upper extremity,Num,1,193,193,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,Blank if Question 11 ARTH = 0 (No),Blank if Question 11 ARTH = 8 (Not assessed),,,,,
