Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
0A,1,PACKET,3,,,Packet code,Char,2,1,2,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
0B,2,FORMID,3,,,Form ID,Char,3,4,6,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
0C,3,FORMVER,3,,,Form version number,Num,3,8,10,1,3,,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
0D,4,ADCID,3,,,Center ID,Num,2,12,13,2,38,,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
0F,6,VISITMO,3,,,Form date - month,Num,2,26,27,1,12,,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
0G,7,VISITDAY,3,,,Form date - day,Num,2,29,30,1,31,,,,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
0H,8,VISITYR,3,,,Form date - year,Num,4,32,35,2005,2015,,,,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
0I,9,VISITNUM,3,,,ADC visit ID,Char,3,37,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0J,10,INITIALS,3,,,Examiner's intials,Char,3,41,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A2SUB,3,I,Z1,A2 Informant Demographics - submitted,Num,1,45,45,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
1a,2,A2NOT,3,I,Z1,"If A2 not submitted, specify reason",Num,2,47,48,95,98,.,.,.,.,.,.,95,96,97,98,.,.,.,.,.,.,.,.,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,,Blank if Question 1 A2SUB = 1 (Yes),,,,,,
1b,3,A2COMM,3,I,Z1,If A2 not submitted - comments,Char,60,50,109,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 1 A2SUB = 1 (Yes),,,,,,
2,4,A3SUB,3,I,Z1,A3 Subject Family History - submitted,Num,1,111,111,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
2a,5,A3NOT,3,I,Z1,"If A3 not submitted, specify reason (see key)",Num,2,113,114,95,98,.,.,.,.,.,.,95,96,97,98,.,.,.,.,.,.,.,.,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,,Blank if Question 2 A3SUB = 1 (Yes),,,,,,
2b,6,A3COMM,3,I,Z1,If A3 not submitted - comments,Char,60,116,175,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 2 A3SUB = 1 (Yes),,,,,,
3,7,A4SUB,3,I,Z1,A4 Subject Medications - submitted,Num,1,177,177,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
3a,8,A4NOT,3,I,Z1,"If A4 not submitted, specify reason (see Key)",Num,2,179,180,95,98,.,.,.,.,.,.,95,96,97,98,.,.,.,.,.,.,.,.,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,,Blank if Question 3 A4SUB = 1 (Yes),,,,,,
3b,9,A4COMM,3,I,Z1,If A4 not submitted - comments,Char,60,182,241,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 3 A4SUB = 1 (Yes),,,,,,
4,10,B1SUB,3,I,Z1,B1 Evaluation Form: Physical - submitted,Num,1,243,243,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
4a,11,B1NOT,3,I,Z1,"If B1 not submitted, specify reason (see Key)",Num,2,245,246,95,98,.,.,.,.,.,.,95,96,97,98,.,.,.,.,.,.,.,.,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,,Blank if Question 4 B1SUB = 1 (Yes),,,,,,
4b,12,B1COMM,3,I,Z1,If B1 not submitted - comments,Char,60,248,307,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 4 B1SUB = 1 (Yes),,,,,,
5,13,B5SUB,3,I,Z1,B5 Behavioral Assessment: NPI-Q - submitted,Num,1,309,309,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
5a,14,B5NOT,3,I,Z1,"If B5 not submitted, specify reason (see Key)",Num,2,311,312,95,98,.,.,.,.,.,.,95,96,97,98,.,.,.,.,.,.,.,.,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,,Blank if Question 5 B5SUB = 1 (Yes),,,,,,
5b,15,B5COMM,3,I,Z1,If B5 not submitted - comments,Char,60,314,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 5 B5SUB = 1 (Yes),,,,,,
6,16,B6SUB,3,I,Z1,B6 Behavioral Assessment: GDS - submitted,Num,1,375,375,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
6a,17,B6NOT,3,I,Z1,"If B6 not submitted, specify reason (see Key)",Num,2,377,378,95,98,.,.,.,.,.,.,95,96,97,98,.,.,.,.,.,.,.,.,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,,Blank if Question 6 B6SUB = 1 (Yes),,,,,,
6b,18,B6COMM,3,I,Z1,If B6 not submitted - comments,Char,60,380,439,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 B6SUB = 1 (Yes),,,,,,
7,19,B7SUB,3,I,Z1,B7 Functional Assessment: FAQ - submitted,Num,1,441,441,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
7a,20,B7NOT,3,I,Z1,"If B7 not submitted, specify reason (see Key)",Num,2,443,444,95,98,.,.,.,.,.,.,95,96,97,98,.,.,.,.,.,.,.,.,Physical problem,Cognitive/behavior problem,Other problem,Verbal refusal,,,,,,,,,Blank if Question 7 B7SUB = 1 (Yes),,,,,,
7b,21,B7COMM,3,I,Z1,If B7 not submitted - comments,Char,60,446,505,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 7 B7SUB = 1 (Yes),,,,,,
